Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentBackfieldRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TargetedReadFirstTotal
Bijan Robinson,ATL,RB,26,Yes,Yes,No,25,17,No,Yes,16,0.9412,0.68,15,0.8824,136,125,42,18,,0.08,1.0588,119.6,5.44,8,1.7169,9.0667,8.3333,2.8,27.9612,27.9612,0.6538,19.6,34.6,27.1,42.1,34.6,37.6,30.1,34.6,34.6,34.6,27.1,34.6,34.6,1,17,,,0.92,6,3,0.2,1,0.0588,,,1,
Jaleel McLaughlin,DEN,RB,12,Yes,No,No,12,9,No,Yes,9,1,0.75,9,1,35,49,5,-14,,,-1.5556,82.9,2.9167,3.8889,-1.8925,3.8889,5.4444,0.5556,13.3984,13.3984,0.75,2.5,11.5,7,16,11.5,11.5,6,10.5,10.5,10.5,6,11.5,10.5,1,16,,,1,1,,,,,,,,
Geoff Swaim,CLV,TE,4,No,Yes,No,1,1,No,Yes,1,1,1,1,1,7,5,2,2,1,,2,95.8,7,7,0.6299,7,5,2,1.3971,1.3971,0.25,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,8,,,,,,,,,,,,
Jalen Virgil,BUF,WR,1,Yes,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,
Jacob Cowing,SF,WR,5,Yes,Yes,No,5,,No,No,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.6,,,,,,,,,,,
Calvin Austin,PIT,WR,27,No,Yes,Yes,27,,No,Yes,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.3333,,,,,,,,,,,
Ronnie Bell,SF,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.6667,,,,,,,,,,,
Pat Freiermuth,PIT,TE,40,No,Yes,Yes,40,5,No,Yes,5,1,0.125,5,1,37,31,13,6,0.425,0.375,1.2,97.5,0.925,7.4,1.5692,7.4,6.2,2.6,7.1715,7.1715,0.125,2.7,7.7,5.2,7.7,10.2,7.7,4.2,6.7,6.7,6.7,4.2,10.2,6.7,,17,0.175,,0.025,,,,,,,,,
Cordarrelle Patterson,PIT,RB,6,No,Yes,Yes,6,2,No,Yes,2,1,0.3333,2,1,19,12,5,7,0.1667,0.1667,3.5,106.3,3.1667,9.5,2.6862,9.5,6,2.5,2.7161,2.7161,0.3333,1.9,3.9,2.9,4.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,13,0.3333,,0.3333,1,,,,,,,,
Isiah Pacheco,KC,RB,8,No,Yes,No,8,6,No,Yes,5,0.8333,0.75,4,0.6667,30,43,4,-8,,0.125,-1.3333,78.5,3.75,5,-0.983,7.5,10.75,1,11.3361,11.3361,0.75,3,7,5,9,7,7,5,7,7,7,5,7,7,1,7,,1,0.875,1,1,0.25,,,,,,
Ben Sinnott,WAS,TE,6,No,No,No,4,,No,No,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,
Stefon Diggs,HST,WR,25,No,No,No,24,2,No,Yes,1,0.5,0.0833,1,0.5,1,4,4,2,,0.6667,1,56.3,0.0417,0.5,-5.1518,1,4,4,2.5715,2.5715,0.08,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,8,0.3333,,,,1,1,,,,,,
Zay Jones,ARZ,WR,12,Yes,Yes,No,12,,No,No,,,,,,,,,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.9167,,,,,,,,,,,
Brandon Aiyuk,SF,WR,12,No,No,No,12,,No,Yes,,,,,,,,,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.9167,,,,,,,,,,,
Allen Lazard,NYJ,WR,28,Yes,Yes,No,26,,No,Yes,,,,,,,,,,0.0769,0.2692,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.6538,,,,,,,,,,,
Andrei Iosivas,CIN,WR,35,No,Yes,Yes,35,1,No,Yes,1,1,0.0286,1,1,7,3,2,4,,0.4571,4,95.8,0.2,7,0.9502,7,3,2,1.3165,1.3165,0.0286,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,17,0.5429,,,,,,,,,,,
Jeremy Ruckert,NYJ,TE,21,Yes,Yes,No,19,6,No,Yes,5,0.8333,0.3158,4,0.6667,19,33,10,-17,0.7895,0.0526,-2.8333,70.8,1,3.1667,-2.545,4.75,8.25,2.5,8.6894,8.6894,0.2857,1.9,5.9,3.9,5.9,7.9,5.9,3.9,5.9,5.9,5.9,3.9,7.9,5.9,,17,0.1053,,0.0526,,,,1,0.1667,,,,
Kalif Raymond,DET,WR,9,No,No,No,9,,No,Yes,,,,,,,,,,,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.7778,,,,,,,,,,,
Darnell Mooney,ATL,WR,31,No,No,Yes,31,,No,Yes,,,,,,,,,,,0.4516,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.5484,,,,,,,,,,,
Chase Brown,CIN,RB,21,No,No,No,19,15,No,Yes,15,1,0.7895,12,0.8,89,73,15,16,0.0526,,1.0667,91.4,4.6842,5.9333,-0.2991,7.4167,6.0833,1.25,21.4517,21.4517,0.7143,8.9,20.9,14.9,26.9,20.9,20.9,14.9,20.9,20.9,20.9,14.9,20.9,20.9,,16,0.0526,,0.8947,5,2,0.1667,3,0.2,,,,
Najee Harris,PIT,RB,23,No,Yes,Yes,21,16,No,Yes,16,1,0.7619,14,0.875,85,79,27,3,0.0476,,0.1875,88.8,4.0476,5.3125,-0.7302,6.0714,5.6429,1.9286,22.4992,22.4992,0.6957,8.5,22.5,15.5,29.5,22.5,22.5,15.5,22.5,22.5,22.5,15.5,22.5,22.5,1,17,,1,0.9524,3,2,0.1429,2,0.125,1,,,
Tanner Hudson,CIN,TE,7,No,Yes,Yes,7,3,No,Yes,3,1,0.4286,3,1,27,28,7,-1,0.1429,0.4286,-0.3333,104.2,3.8571,9,3.1586,9,9.3333,2.3333,4.6602,4.6602,0.4286,2.7,5.7,4.2,5.7,7.2,5.7,4.2,5.7,5.7,5.7,4.2,7.2,5.7,,11,,,0.4286,2,1,0.3333,,,,,,
Curtis Samuel,BUF,WR,12,No,No,No,12,,No,Yes,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.6667,,,,,,,,,,,
Drew Sample,CIN,TE,22,No,Yes,Yes,16,6,No,Yes,6,1,0.375,6,1,32,35,11,-3,0.6875,0.0625,-0.5,88.9,2,5.3333,-0.5561,5.3333,5.8333,1.8333,7.9153,7.9153,0.2727,3.2,9.2,6.2,9.2,12.2,9.2,6.2,9.2,9.2,9.2,6.2,12.2,9.2,,17,,,0.25,3,,,,,,,,
Daniel Bellinger,NYG,TE,12,No,Yes,No,10,3,No,Yes,3,1,0.3,3,1,26,19,9,7,0.4,0.5,2.3333,102.8,2.6,8.6667,2.3127,8.6667,6.3333,3,4.2939,4.2939,0.25,2.6,5.6,4.1,5.6,7.1,5.6,4.1,5.6,5.6,5.6,4.1,7.1,5.6,,17,,,0.1,2,1,0.3333,,,,,,
Devontez Walker,BLT,WR,2,No,No,Yes,2,,No,No,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.5,,,,,,,,,,,
Austin Ekeler,WAS,RB,12,No,No,No,12,11,No,No,9,0.8182,0.9167,8,0.7273,95,98,26,1,,0.0833,0.0909,98.7,7.9167,8.6364,2.6463,11.875,12.25,3.25,15.1996,15.1996,0.9167,9.5,17.5,13.5,21.5,17.5,17.5,13.5,17.5,17.5,17.5,13.5,17.5,17.5,,12,0.0833,,0.8333,4,2,0.25,1,0.0909,,,,
Jaheim Bell,NE,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,11,No,No,No,11,1,No,Yes,1,1,0.0909,1,1,11,15,3,-4,,0.2727,-4,112.5,1,11,6.5149,11,15,3,1.5915,1.5915,0.0909,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,17,0.7273,,,1,2,2,,,,,,
Dawson Knox,BUF,TE,23,No,No,No,20,2,No,No,1,0.5,0.1,1,0.5,5,5,1,-2,0.45,0.4,-1,56.3,0.25,2.5,-2.5701,5,5,1,2.7061,2.7061,0.087,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,16,0.15,,,1,,,,,,,,
Noah Brown,WAS,WR,12,No,Yes,No,12,1,No,Yes,1,1,0.0833,1,1,3,4,2,-1,,0.0833,-1,79.2,0.25,3,-3.1699,3,4,2,1.3463,1.3463,0.0833,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,11,0.9167,,,,,,,,,,,
Jalen Reagor,LAC,WR,12,No,Yes,Yes,12,1,Yes,Yes,1,1,0.0833,1,1,11,16,1,-5,,0.5,-5,112.5,0.9167,11,6.8404,11,16,1,1.5231,1.5231,0.0833,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,8,0.5,,,1,,,,,,,,
Trey McBride,ARZ,TE,50,Yes,Yes,No,50,5,No,No,4,0.8,0.1,4,0.8,37,25,4,12,0.4,0.54,2.4,97.5,0.74,7.4,1.3624,9.25,6.25,1,6.8376,6.8376,0.1,3.7,7.7,5.7,7.7,9.7,7.7,5.7,7.7,7.7,7.7,5.7,9.7,7.7,,16,0.06,,,2,,,,,,,,
Patrick Taylor,SF,RB,3,Yes,Yes,No,3,3,No,No,2,0.6667,1,1,0.3333,12,9,2,7,,,2.3333,46.5,4,4,-2.4329,12,9,2,3.9929,3.9929,1,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,9,,,1,1,,,1,0.3333,,,,
Carson Steele,KC,RB,6,Yes,No,No,6,3,No,Yes,2,0.6667,0.5,2,0.6667,10,10,2,1,,,0.3333,71.5,1.6667,3.3333,-2.4259,5,5,1,4.4646,4.4646,0.5,1,3,2,4,3,3,2,3,3,3,2,3,3,1,16,,,1,,1,0.5,,,,,,
John Bates,WAS,TE,9,No,No,No,7,1,No,No,,,0.1429,,,,,,-3,0.8571,0.1429,-3,39.6,,,-5.8652,,,,1.6139,1.6139,0.1111,,,,,,,,,,,,,,,17,,,,,,,,,,,,
Kyren Williams,LA,RB,20,Yes,No,No,20,17,No,Yes,16,0.9412,0.85,16,0.9412,107,96,26,15,,,0.8824,92.9,5.35,6.2941,0.0642,6.6875,6,1.625,29.027,29.027,0.85,10.7,26.7,18.7,34.7,26.7,29.7,21.7,26.7,26.7,26.7,18.7,26.7,26.7,3,16,,,1,4,1,0.0625,,,,,,
Tucker Kraft,GB,TE,26,No,No,No,25,8,No,Yes,7,0.875,0.32,7,0.875,65,51,17,14,0.52,0.44,1.75,100.5,2.6,8.125,2.371,9.2857,7.2857,2.4286,12.5501,12.5501,0.3077,5.5,12.5,9,12.5,16,12.5,8,11.5,11.5,11.5,8,16,11.5,2,17,0.04,,,2,,,,,,,,
Payne Durham,TB,TE,12,Yes,Yes,No,8,,No,Yes,,,,,,,,,,0.875,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,
Trey Palmer,TB,WR,17,Yes,Yes,No,17,1,No,Yes,1,1,0.0588,1,1,3,6,1,-3,,0.4706,-3,79.2,0.1765,3,-1.9408,3,6,1,1.858,1.858,0.0588,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,15,0.5294,,,,,,,,,,,
Will Shipley,PHI,RB,1,No,Yes,No,1,1,No,Yes,1,1,1,1,1,5,3,,2,,,2,87.5,5,5,-1.3947,5,3,,1.4098,1.4098,1,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,13,,,1,,,,,,,,,
Raheem Mostert,MIA,RB,8,Yes,Yes,No,6,5,No,Yes,5,1,0.8333,4,0.8,43,33,8,12,,0.3333,2.4,102.5,7.1667,8.6,2.1519,10.75,8.25,2,10.8354,10.8354,0.625,4.3,8.3,6.3,10.3,8.3,8.3,6.3,8.3,8.3,8.3,6.3,8.3,8.3,2,13,,,0.6667,2,,,1,0.2,,,,
Jalen Coker,CAR,WR,18,Yes,Yes,No,17,,No,Yes,,,,,,,,,,,0.6471,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.3529,,,,,,,,,,,
Marvin Mims,DEN,WR,18,Yes,No,No,17,2,No,Yes,2,1,0.1176,2,1,14,16,6,-2,0.0588,0.4118,-1,95.8,0.8235,7,2.0902,7,8,3,4.4398,4.4398,0.1111,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,17,0.5294,,,1,,,,,,,,
Calvin Ridley,TEN,WR,25,No,Yes,No,25,,No,No,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.88,,,,,,,,,,,
Roschon Johnson,CHI,RB,12,No,No,No,12,12,No,Yes,11,0.9167,1,10,0.8333,69,51,19,15,,,1.25,90.6,5.75,5.75,-0.5471,6.9,5.1,1.9,20.1507,20.1507,1,6.9,16.9,11.9,21.9,16.9,16.9,11.9,16.9,16.9,16.9,11.9,16.9,16.9,2,13,,1,1,3,3,0.3,,,,,,
Dallas Goedert,PHI,TE,15,No,Yes,No,15,4,No,Yes,3,0.75,0.2667,3,0.75,,6,5,-2,0.5333,0.2,-0.5,77.1,,,-5.5515,,2,1.6667,6.2129,6.2129,0.2667,,3,1.5,3,4.5,3,1.5,3,3,3,1.5,4.5,3,,10,0.2667,,,,,,,,,,,
Cedric Tillman,CLV,WR,10,No,Yes,No,10,,No,Yes,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.8,,,,,,,,,,,
Terry McLaurin,WAS,WR,27,No,No,No,27,,No,No,,,,,,,,,,,0.1481,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8519,,,,,,,,,,,
Ainias Smith,PHI,WR,4,No,Yes,No,4,,No,Yes,,,,,,,,,,,0.75,,,,,,,,,1.8147,1.8147,,,,,,,,,,,,,,,,7,0.25,,,,,,,,,,,
Chris Godwin,TB,WR,11,No,No,No,9,,No,No,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.3333,,,,,,,,,,,
Kyle Pitts,ATL,TE,21,Yes,Yes,No,19,8,No,Yes,8,1,0.4211,7,0.875,33,17,13,21,0.5789,0.2105,2.625,83.9,1.7368,4.125,-2.093,4.7143,2.4286,1.8571,11.5442,11.5442,0.381,3.3,10.3,6.8,10.3,13.8,10.3,6.8,10.3,10.3,10.3,6.8,13.8,10.3,,17,0.2105,2,,,2,0.2857,,,1,,,
Dante Pettis,NO,WR,4,Yes,Yes,No,4,,No,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.75,,,,,,,,,,,
Brevin Jordan,HST,TE,3,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,3,3,1,,1,,,79.2,1.5,3,-2.289,3,3,1,1.5297,1.5297,0.3333,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,2,,,,1,,,,,,,,
Jayden Reed,GB,WR,19,No,No,No,19,,No,Yes,,,,,,,,,,,0.6842,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.3158,,,,,,,,,,,
Mike Boone,CAR,RB,2,Yes,Yes,No,2,2,No,Yes,1,0.5,1,,,,,,-10,,0.5,-5,39.6,,,-5.3296,,,,2.7262,2.7262,1,,,,,,,,,,,,,,,5,,,0.5,,,,1,0.5,,,,
Will Mallory,IND,TE,8,No,Yes,No,8,,No,Yes,,,,,,,,,,0.125,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
Olamide Zaccheaus,WAS,WR,13,No,No,No,13,,No,No,,,,,,,,,,,0.4615,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5385,,,,,,,,,,,
Bo Melton,GB,WR,7,No,No,No,7,,No,Yes,,,,,,,,,,,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5714,,,,,,,,,,,
Irvin Charles,NYJ,WR,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
Alec Pierce,IND,WR,28,No,Yes,No,28,,No,Yes,,,,,,,,,,,0.1071,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.8929,,,,,,,,,,,
Drake London,ATL,WR,31,Yes,Yes,No,31,,No,Yes,,,,,,,,,,,0.2581,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7419,,,,,,,,,,,
Jalen Tolbert,DAL,WR,29,No,No,No,29,2,No,No,2,1,0.069,2,1,19,15,5,4,,0.1034,2,106.3,0.6552,9.5,4.1656,9.5,7.5,2.5,4.19,4.19,0.069,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,17,0.8966,,,1,,,,,,,,
Khalil Shakir,BUF,WR,20,No,No,No,20,2,No,No,2,1,0.1,2,1,18,32,6,-14,,0.8,-7,104.2,0.9,9,6.4595,9,16,3,2.7813,2.7813,0.1,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,1,15,0.15,,0.05,1,1,0.5,,,,,,
Bub Means,NO,WR,11,No,Yes,No,10,,No,Yes,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.7,,,,,,,,,,,
Sterling Shepard,TB,WR,17,Yes,Yes,No,17,,No,Yes,,,,,,,,,,,0.4706,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.5294,,,,,,,,,,,
Christian McCaffrey,SF,RB,4,No,No,No,4,4,No,No,3,0.75,1,3,0.75,21,7,4,16,,,4,86.5,5.25,5.25,-1.6068,7,2.3333,1.3333,5.6028,5.6028,1,2.1,5.1,3.6,6.6,5.1,5.1,3.6,5.1,5.1,5.1,3.6,5.1,5.1,,4,,,1,,1,0.3333,,,,,,
Robert Woods,HST,WR,12,No,Yes,No,12,1,No,No,1,1,0.0833,1,1,17,16,,1,,0.3333,1,118.8,1.4167,17,11.8789,17,16,,1.4841,1.4841,0.0833,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,15,0.6667,,,1,,,,,,,,
Sam LaPorta,DET,TE,28,No,No,No,27,2,No,Yes,2,1,0.0741,2,1,17,13,4,4,0.7778,0.1111,2,102.1,0.6296,8.5,2.4514,8.5,6.5,2,2.9894,2.9894,0.0714,1.7,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,1,16,0.0741,,0.037,1,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,46,Yes,Yes,Yes,46,1,No,Yes,1,1,0.0217,1,1,9,13,3,-4,,0.8043,-4,104.2,0.1957,9,4.5149,9,13,3,1.5723,1.5723,0.0217,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,17,0.1957,,,,,,,,,,,
D'Wayne Eskridge,MIA,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,
Grant Calcaterra,PHI,TE,20,No,Yes,No,20,3,No,Yes,3,1,0.15,3,1,15,7,2,8,0.45,0.4,2.6667,87.5,0.75,5,-1.3379,5,2.3333,0.6667,4.0822,4.0822,0.15,1.5,4.5,3,4.5,6,4.5,3,4.5,4.5,4.5,3,6,4.5,,17,0.15,,,1,,,,,,,,
Dante Miller,NYG,RB,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,
Rashod Bateman,BLT,WR,22,No,No,Yes,22,,No,No,,,,,,,,,,,0.1818,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8182,,,,,,,,,,,
Scott Miller,PIT,WR,13,No,Yes,No,13,,No,Yes,,,,,,,,,,,0.3077,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.6923,,,,,,,,,,,
Jaylen Waddle,MIA,WR,20,Yes,Yes,No,17,,No,Yes,,,,,,,,,,,0.2941,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.7059,,,,,,,,,,,
Tee Higgins,CIN,WR,28,No,Yes,Yes,28,,No,Yes,,,,,,,,,,,0.2143,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.7857,,,,,,,,,,,
Josh Jacobs,GB,RB,20,No,No,No,17,13,No,Yes,11,0.8462,0.7647,11,0.8462,125,117,43,-3,,,-0.2308,74.7,7.3529,9.6154,3.6673,11.3636,10.6364,3.9091,18.2952,18.2952,0.65,12.5,23.5,18,29,23.5,26.5,21,23.5,23.5,23.5,18,23.5,23.5,,17,,,1,3,7,0.6364,,,,,,
Cade Stover,HST,TE,14,No,Yes,No,13,4,No,No,4,1,0.3077,4,1,9,10,4,-1,0.8462,0.0769,-0.25,79.2,0.6923,2.25,-4.0153,2.25,2.5,1,6.305,6.305,0.2857,0.9,4.9,2.9,4.9,6.9,4.9,2.9,4.9,4.9,4.9,2.9,6.9,4.9,1,15,0.0769,,,,,,,,,,,
Jerome Ford,CLV,RB,19,No,No,No,17,9,No,Yes,7,0.7778,0.5294,7,0.7778,50,46,12,12,0.5294,,1.3333,89.8,2.9412,5.5556,-0.7895,7.1429,6.5714,1.7143,12.4739,12.4739,0.4737,5,12,8.5,15.5,12,12,8.5,12,12,12,8.5,12,12,,14,,,0.4706,2,5,0.7143,,,,,,
George Pickens,PIT,WR,34,No,Yes,Yes,34,,No,Yes,,,,,,,,,,,0.1176,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.8824,,,,,,,,,,,
Jeremy McNichols,WAS,RB,9,No,No,No,9,3,No,No,3,1,0.3333,3,1,12,10,1,2,,0.3333,0.6667,83.3,1.3333,4,-2.0163,4,3.3333,0.3333,4.967,4.967,0.3333,1.2,4.2,2.7,5.7,4.2,4.2,2.7,4.2,4.2,4.2,2.7,4.2,4.2,2,17,,,0.6667,,,,,,,,,
Jermaine Burton,CIN,WR,5,No,No,No,5,,No,Yes,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.8,,,,,,,,,,,
Jordan Matthews,CAR,TE,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
Rico Dowdle,DAL,RB,15,No,No,No,13,12,No,No,9,0.75,0.9231,9,0.75,61,41,18,25,,0.1538,2.0833,85.8,4.6923,5.0833,-1.2875,6.7778,4.5556,2,17.1693,17.1693,0.8,6.1,15.1,10.6,19.6,15.1,15.1,10.6,15.1,15.1,15.1,10.6,15.1,15.1,,16,,1,0.8462,,2,0.2222,,,1,,,
Ricky Pearsall,SF,WR,11,Yes,Yes,No,11,,No,No,,,,,,,,,,,0.7273,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.2727,,,,,,,,,,,
Pharaoh Brown,SEA,TE,8,Yes,Yes,Yes,6,,No,Yes,,,,,,,,,,0.8333,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,
Chris Olave,NO,WR,17,No,Yes,No,17,,No,Yes,,,,,,,,,,,0.1765,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8235,,,,,,,,,,,
Trey Benson,ARZ,RB,7,No,Yes,No,5,4,No,Yes,4,1,0.8,4,1,35,47,9,-12,,,-3,103.1,7,8.75,2.7193,8.75,11.75,2.25,5.4559,5.4559,0.5714,3.5,7.5,5.5,9.5,7.5,7.5,5.5,7.5,7.5,7.5,5.5,7.5,7.5,,13,0.4,,0.6,2,2,0.5,,,,,,
Ben Skowronek,PIT,WR,3,No,Yes,Yes,3,,No,Yes,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.3333,,,,,,,,,,,
Julius Chestnut,TEN,RB,1,No,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,1,,,,,,,,,
Wan'Dale Robinson,NYG,WR,26,No,Yes,No,26,1,No,Yes,1,1,0.0385,1,1,-1,4,2,-5,,0.7692,-5,79.2,-0.0385,-1,-5.1596,-1,4,2,1.3848,1.3848,0.0385,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,,17,0.1923,,0.0385,,,,,,,,,
D'Onta Foreman,CLV,RB,9,No,No,Yes,5,3,No,No,2,0.6667,0.6,2,0.6667,14,9,2,5,,0.2,1.6667,77.1,2.8,4.6667,-1.5771,7,4.5,1,5.3904,5.3904,0.3333,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,11,,,0.8,,,,,,,,,
Deebo Samuel,SF,WR,19,No,No,No,19,,No,No,,,,,,,,,,,0.4211,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.5789,,,,,,,,,,,
Devin Duvernay,JAX,WR,7,No,Yes,No,7,,No,Yes,,,,,,,,,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.7143,,,,,,,,,,,
Mike Gesicki,CIN,TE,27,No,Yes,Yes,27,1,No,Yes,1,1,0.037,1,1,12,9,1,3,0.1481,0.7037,3,116.7,0.4444,12,5.6782,12,9,1,1.3604,1.3604,0.037,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,17,0.1481,,,1,,,,,,,,
Nikko Remigio,KC,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,
