Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,YardsAfterContactTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerReceptionYardsAfterContact,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DeepTargetTargetsTotal,ReceptionsHero,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone
Kyle Pitts,ATL,TE,20,No,Yes,Yes,19,8,No,Yes,8,1,0.4211,7,0.875,73,22,55,,6.875,65.1,3.8421,9.125,1.6101,10.4286,3.1429,12.4333,12.4333,0.4,7.3,14.3,10.8,14.3,17.8,14.3,10.8,14.3,14.3,14.3,10.8,17.8,14.3,17,0.4737,44,0.1053,7,2,0.25,6.2857,,,,0.4211,,1,2,2,,2,,1,,
Emeka Egbuka,TB,WR,18,No,Yes,No,17,4,No,Yes,4,1,0.2353,1,0.25,1,1,18,,4.5,39.6,0.0588,0.25,-6.281,1,1,6.1246,6.1246,0.2222,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,17,0.4706,1,0.5294,4,,,1,2,,,,0.5,,,,,2,,1,,
TreVeyon Henderson,NE,RB,5,No,No,No,5,1,No,Yes,1,1,0.2,1,1,9,10,-1,1,-1,104.2,1.8,9,3.181,9,10,1.3579,1.3579,0.2,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,17,,2,,,,,2,,,,,,,,,,,,,,
Jayden Reed,GB,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,,,,,,,,,,,,,,,
Devin Neal,NO,RB,7,No,No,No,4,,No,No,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
Oronde Gadsden,LAC,TE,12,No,Yes,No,11,4,No,Yes,4,1,0.3636,4,1,45,8,37,,9.25,113.5,4.0909,11.25,3.9787,11.25,2,6.6381,6.6381,0.3333,4.5,8.5,6.5,8.5,10.5,8.5,6.5,8.5,8.5,8.5,6.5,10.5,8.5,15,0.6364,8,0.0909,1,,,2,,,,0.2727,,,1,1,,1,,1,,
Dante Pettis,NO,WR,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,6,No,Yes,No,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.3333,,0.6667,,,,,,,,,,,,,,,,,,
Terry McLaurin,WAS,WR,9,No,No,No,9,3,No,No,3,1,0.3333,3,1,38,2,36,,12,118.8,4.2222,12.6667,4.5897,12.6667,0.6667,4.3543,4.3543,0.3333,3.8,6.8,5.3,6.8,6.8,6.8,5.3,6.8,6.8,6.8,5.3,6.8,6.8,10,0.2222,1,0.7778,3,,,0.3333,,,,,,,2,1,1,1,,1,,
Harold Fannin,CLV,TE,18,No,No,No,15,7,No,Yes,7,1,0.4667,5,0.7143,69,36,41,,5.8571,102.7,4.6,9.8571,2.9405,13.8,7.2,9.8915,9.8915,0.3889,6.9,11.9,9.4,11.9,14.4,11.9,9.4,11.9,11.9,11.9,9.4,14.4,11.9,16,0.4,26,0.2667,7,,,5.2,,2,0.4,0.3333,,,3,,,3,,1,,
Dallas Goedert,PHI,TE,9,No,No,No,8,2,Yes,Yes,2,1,0.25,1,0.5,5,1,10,,5,56.3,0.625,2.5,-4.0799,5,1,2.7106,2.7106,0.2222,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,15,0.375,1,0.125,2,,,1,1,,,0.5,0.5,,,,,1,,,,
Arian Smith,NYJ,WR,4,No,No,No,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.75,,0.25,,,,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,6,No,Yes,No,6,2,No,Yes,2,1,0.3333,2,1,19,27,-8,0.1667,-4,106.3,3.1667,9.5,4.9498,9.5,13.5,2.5455,2.5455,0.3333,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,15,0.3333,4,0.5,1,1,0.5,2,,2,1,,,,1,,,,,,,
Cedric Tillman,CLV,WR,10,No,No,No,9,1,No,No,1,1,0.1111,1,1,21,4,17,,17,118.8,2.3333,21,9.3347,21,4,5.1149,5.1149,0.1,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,13,0.2222,,0.7778,1,,,,,,,,,,1,,,,,,,
Calvin Ridley,TEN,WR,10,No,No,No,9,4,No,Yes,4,1,0.4444,2,0.5,48,10,63,,15.75,93.8,5.3333,12,2.3978,24,5,8.3048,8.3048,0.4,4.8,6.8,5.8,6.8,6.8,6.8,5.8,6.8,6.8,6.8,5.8,6.8,6.8,7,0.2222,1,0.7778,4,1,0.25,0.5,2,,,,0.5,,1,1,,,,,,
Raheem Mostert,LV,RB,4,Yes,No,No,3,1,Yes,Yes,1,1,0.3333,1,1,2,,2,1,2,79.2,0.6667,2,-4.3947,2,,1.4052,1.4052,0.25,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,12,,,,,,,,,,,,,,,,,,,,,
Jalen Coker,CAR,WR,13,No,Yes,No,13,5,No,Yes,5,1,0.3846,5,1,31,2,29,,5.8,92.5,2.3846,6.2,-0.4248,6.2,0.4,7.3203,7.3203,0.3846,3.1,8.1,5.6,8.1,8.1,8.1,5.6,8.1,8.1,8.1,5.6,8.1,8.1,11,0.6923,1,0.3077,4,,,0.2,,,,,,,1,,1,,,,,
LaJohntay Wester,BLT,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,1,,,,,,,,,,,,,,,,,,
Jaylin Lane,WAS,WR,8,Yes,No,Yes,7,1,No,Yes,1,1,0.1429,,,,,11,,11,39.6,,,-8.3152,,,1.458,1.458,0.125,,,,,,,,,,,,,,15,0.4286,,0.5714,1,,,,1,,,,1,,,,,,,,,
Jalen Tolbert,DAL,WR,11,No,Yes,No,10,4,No,Yes,4,1,0.4,3,0.75,59,3,72,,18,116.7,5.9,14.75,4.5897,19.6667,1,5.8838,5.8838,0.3636,5.9,8.9,7.4,8.9,8.9,8.9,7.4,8.9,8.9,8.9,7.4,8.9,8.9,13,0.4,,0.6,1,,,,,,,,,,3,1,2,1,,,,
Drake London,ATL,WR,15,No,Yes,Yes,13,8,No,Yes,8,1,0.6154,5,0.625,65,6,86,,10.75,127.6,5,8.125,0.0955,13,1.2,12.4615,12.4615,0.5333,12.5,17.5,15,17.5,17.5,17.5,15,17.5,17.5,17.5,15,17.5,17.5,12,0.1538,4,0.8462,6,,,0.8,,,,,,1,5,2,2,4,,1,1,
Alec Pierce,IND,WR,12,Yes,Yes,Yes,11,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0909,,0.9091,,,,,,,,,,,,,,,,,,
Olamide Zaccheaus,CHI,WR,8,Yes,No,No,6,4,No,Yes,4,1,0.6667,2,0.5,16,2,30,,7.5,60.4,2.6667,4,-3.2844,8,1,6.1885,6.1885,0.5,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,16,0.5,,0.5,2,,,,1,,,,0.25,,1,,,1,,,,
Theo Wease,MIA,WR,2,No,No,No,2,1,No,Yes,1,1,0.5,,,,,16,,16,39.6,,,-10.0952,,,1.758,1.758,0.5,,,,,,,,,,,,,,3,0.5,,0.5,1,,,,,,,,,,,,,1,,,,
Chris Rodriguez,WAS,RB,2,No,No,No,2,,No,No,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,
Albert Okwuegbunam,LV,TE,2,Yes,No,No,2,2,No,Yes,2,1,1,2,1,10,8,2,,1,87.5,5,5,-0.4589,5,4,2.8815,2.8815,1,1,3,2,3,4,3,2,3,3,3,2,4,3,1,1,5,,2,1,0.5,2.5,,1,0.5,,,,1,,,,,,,
Tyler Warren,IND,TE,14,Yes,Yes,Yes,14,5,Yes,Yes,5,1,0.3571,3,0.6,55,31,31,,6.2,97.9,3.9286,11,3.5937,18.3333,10.3333,9.5778,9.5778,0.3571,5.5,8.5,7,8.5,10,8.5,7,8.5,8.5,8.5,7,10,8.5,17,0.2143,2,0.1429,4,1,0.2,0.6667,1,,,0.6429,0.2,,2,,1,2,,1,,
Brittain Brown,CHI,RB,1,Yes,No,No,1,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Ross Dwelley,DET,TE,1,No,Yes,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,1,,,,,,,,,,
Dee Eskridge,MIA,WR,3,No,No,No,3,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,1,,,,,,,,,,,,,,,,,,
Sam LaPorta,DET,TE,11,No,No,Yes,10,2,No,Yes,2,1,0.2,2,1,21,11,10,,5,110.4,2.1,10.5,4.02,10.5,5.5,3.0519,3.0519,0.1818,2.1,4.1,3.1,4.1,5.1,4.1,3.1,4.1,4.1,4.1,3.1,5.1,4.1,9,0.2,2,0.3,1,,,1,,,,0.5,,,1,,,,,,,
Jackson Hawes,BUF,TE,2,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,1,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,12,No,No,No,12,3,Yes,Yes,3,1,0.25,2,0.6667,30,10,28,,9.3333,99.3,2.5,10,2.4437,15,5,9.2454,9.2454,0.25,2,4,3,4,4,4,2,3,3,3,2,4,3,17,0.25,2,0.75,3,1,0.3333,1,1,,,,0.3333,,1,1,1,1,,,,
Mitchell Tinsley,CIN,WR,1,No,No,No,1,1,No,No,1,1,1,1,1,13,,17,,17,158.3,13,13,1.3347,13,,2.8953,2.8953,1,7.3,8.3,7.8,8.3,8.3,8.3,7.8,8.3,8.3,8.3,7.8,8.3,8.3,17,,,1,1,,,,,,,,,1,1,,1,1,1,1,1,1
Brycen Tremayne,CAR,WR,3,No,Yes,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.6667,,0.3333,,,,,,,,,,,,,,,,,,
Sterling Shepard,TB,WR,13,No,No,Yes,13,3,No,Yes,3,1,0.2308,2,0.6667,11,5,20,,6.6667,72.9,0.8462,3.6667,-3.2377,5.5,2.5,4.4262,4.4262,0.2308,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,13,0.6923,2,0.3077,2,,,1,,,,,,,,,,1,,,,
Khalil Shakir,BUF,WR,9,No,No,No,8,2,Yes,Yes,2,1,0.25,2,1,48,54,-6,,-3,158.3,6,24,19.0592,24,27,4.2078,4.2078,0.2222,10.8,12.8,11.8,12.8,12.8,12.8,11.8,12.8,12.8,12.8,11.8,12.8,12.8,16,0.375,41,0.625,2,2,1,20.5,,2,1,,,,1,,,,,,1,
Tez Johnson,TB,WR,9,No,Yes,No,9,3,No,Yes,3,1,0.3333,1,0.3333,27,8,37,,12.3333,67.4,3,9,-0.0698,27,8,5.8543,5.8543,0.3333,2.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,16,0.3333,,0.6667,3,,,,1,,,,0.3333,,1,,,1,,,,
Christian McCaffrey,SF,RB,12,No,No,No,10,5,Yes,Yes,5,1,0.5,3,0.6,17,9,13,0.7,2.6,26.7,1.7,3.4,-3.409,5.6667,3,7.3177,7.3177,0.4167,1.7,4.7,3.2,6.2,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,17,0.2,5,0.1,1,,,1.6667,2,,,,0.4,,1,,,2,,2,,
Pharaoh Brown,ARZ,TE,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,1,,,,,,,,,,
Rico Dowdle,CAR,RB,11,No,Yes,No,8,1,No,Yes,1,1,0.125,1,1,8,5,3,0.875,3,100,1,8,1.4906,8,5,1.2781,1.2781,0.0909,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,17,,1,0.125,,,,1,,,,,,,1,,,,,,,
Ricky Pearsall,SF,WR,6,No,No,No,6,,No,No,,,,,,,,,,,,,,,,,1.2397,1.2397,,,,,,,,,,,,,,,9,0.3333,,0.6667,,,,,,,,,,,,,,,,,,
Chris Olave,NO,WR,10,No,No,No,10,5,No,No,5,1,0.5,4,0.8,11,14,35,,7,79.2,1.1,2.2,-4.5973,2.75,3.5,9.3552,9.3552,0.5,1.1,5.1,3.1,5.1,5.1,5.1,3.1,5.1,5.1,5.1,3.1,5.1,5.1,16,0.4,6,0.6,5,3,0.6,1.5,1,1,0.25,,0.2,,1,1,,,,,,
Jerome Ford,CLV,RB,11,No,Yes,No,7,1,No,Yes,1,1,0.1429,1,1,-1,3,-4,0.7143,-4,79.2,-0.1429,-1,-6.5699,-1,3,1.4085,1.4085,0.0909,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,13,,2,0.1429,,,,2,,,,0.1429,,,,,,,,,,
George Pickens,DAL,WR,25,No,Yes,No,25,5,No,Yes,5,1,0.2,2,0.4,26,1,69,,13.8,96.7,1.04,5.2,-3.6769,13,0.5,13.9658,13.9658,0.2,8.6,10.6,9.6,10.6,10.6,10.6,9.6,10.6,10.6,10.6,9.6,10.6,10.6,17,0.08,,0.92,4,,,,1,,,,0.2,3,2,2,2,2,3,,1,1
Jeremy McNichols,WAS,RB,8,No,No,No,6,,No,No,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,17,0.5,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,15,No,No,Yes,13,1,Yes,Yes,1,1,0.0769,1,1,31,17,14,,14,118.8,2.3846,31,21.1866,31,17,1.5662,1.5662,0.0667,3.1,4.1,3.6,4.1,4.1,4.1,3.6,4.1,4.1,4.1,3.6,4.1,4.1,16,0.2308,6,0.7692,1,,,6,,,,,,,1,,,1,,1,,
Tee Higgins,CIN,WR,14,No,No,No,14,3,No,No,3,1,0.2143,,,,,92,,30.6667,39.6,,,-13.0902,,,5.6489,5.6489,0.2143,,,,,,,,,,,,,,15,0.0714,,0.9286,3,,,,,,,,,,,3,,3,1,,,
Scott Miller,PIT,WR,4,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.6667,,0.3333,,,,,,,,,,,,,,,,,,
Josh Jacobs,GB,RB,6,No,No,No,3,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
Cade Stover,HST,TE,1,Yes,Yes,Yes,1,1,Yes,Yes,1,1,1,1,1,7,9,-2,,-2,95.8,7,7,2.1489,7,9,1.4897,1.4897,1,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,9,,5,,1,,,5,,,,1,,1,,,,,,,,
Grant Calcaterra,PHI,TE,4,No,No,No,4,1,No,No,1,1,0.25,,,,,3,,3,39.6,,,-6.3218,,,1.3694,1.3694,0.25,,,,,,,,,,,,,,15,0.75,,,1,,,,,,,0.25,,,,,,1,,,,
Rashod Bateman,BLT,WR,10,No,No,No,9,1,No,Yes,1,1,0.1111,,,,,16,,16,39.6,,,-10.0952,,,2.592,2.592,0.1,,,,,,,,,,,,,,13,,,1,1,,,,1,,,,1,1,,,,,1,,,
Mike Gesicki,CIN,TE,5,No,No,No,5,1,No,No,1,1,0.2,,,,,29,,29,39.6,,,-11.2203,,,2.3364,2.3364,0.2,,,,,,,,,,,,,,13,1,,,1,,,,,,,,,,,1,,1,,,,
Nikko Remigio,KC,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,
Deebo Samuel,WAS,WR,12,No,No,No,12,3,No,No,3,1,0.25,2,0.6667,41,19,32,,10.6667,149.3,3.4167,13.6667,5.7043,20.5,9.5,8.1953,8.1953,0.25,10.1,12.1,11.1,12.1,12.1,12.1,11.1,12.1,12.1,12.1,11.1,12.1,12.1,16,0.75,15,0.25,2,1,0.3333,7.5,,,,,,2,2,1,,1,,1,1,
Ryan Flournoy,DAL,WR,5,No,Yes,No,5,2,No,Yes,2,1,0.4,1,0.5,46,12,55,,27.5,95.8,9.2,23,10.3803,46,12,5.0332,5.0332,0.4,4.6,5.6,5.1,5.6,5.6,5.6,5.1,5.6,5.6,5.6,5.1,5.6,5.6,15,0.2,6,0.8,1,,,6,1,,,,0.5,,1,2,,,,,,
Wan'Dale Robinson,NYG,WR,16,No,No,No,15,6,No,No,6,1,0.4,4,0.6667,67,17,65,,10.8333,143.8,4.4667,11.1667,2.5995,16.75,4.25,9.3947,9.3947,0.375,12.7,16.7,14.7,16.7,16.7,16.7,14.7,16.7,16.7,16.7,14.7,16.7,16.7,16,0.6667,7,0.3333,6,1,0.1667,1.75,,,,,,1,3,1,,2,1,,1,1
Roman Wilson,PIT,WR,6,No,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.2,,0.8,,,,,,,,,,,,,,,,,,
Trey Benson,ARZ,RB,4,No,No,No,3,,No,Yes,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,4,0.3333,,,,,,,,,,,,,,,,,,,,
Jake Tonges,SF,TE,6,No,No,No,4,1,No,No,1,1,0.25,,,,,13,,13,39.6,,,-9.9649,,,1.769,1.769,0.1667,,,,,,,,,,,,,,16,0.25,,0.25,1,,,,,,,0.5,,,,,,1,,,,
Ben Skowronek,PIT,WR,3,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.5,,0.5,,,,,,,,,,,,,,,,,,
Beaux Collins,NYG,WR,1,No,Yes,Yes,1,1,Yes,Yes,1,1,1,,,,,3,,3,39.6,,,-5.4499,,,4.2241,4.2241,1,,,,,,,,,,,,,,9,,,1,1,,,,1,,,,1,,,,,,,,,
Savion Williams,GB,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,1,,,,,,,,,,,,,,,,,,
Kimani Vidal,LAC,RB,5,No,Yes,No,4,,No,Yes,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,13,0.25,,,,,,,,,,,,,,,,,,,,
RJ Harvey,DEN,RB,6,No,Yes,No,4,2,No,Yes,2,1,0.5,2,1,22,30,-8,0.5,-4,112.5,5.5,11,5.3563,11,15,3.0264,3.0264,0.3333,2.2,4.2,3.2,5.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,17,0.5,8,,,,,4,,1,0.5,,,,1,,,,,,,
Mason Tipton,NO,WR,7,No,No,Yes,5,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,1,,,,,,,,,,,,,,,,,,
Kylen Granson,PHI,TE,2,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5,,,,,,,,,,0.5,,,,,,,,,,
Konata Mumpfield,LA,WR,9,No,Yes,No,9,1,No,Yes,1,1,0.1111,,,,,6,,6,39.6,,,-6.9491,,,1.4429,1.4429,0.1111,,,,,,,,,,,,,,17,0.3333,,0.6667,1,,,,1,,,,1,,,,,1,,,,
Derius Davis,LAC,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,
Brenton Strange,JAX,TE,14,No,Yes,No,11,4,No,Yes,4,1,0.3636,2,0.5,26,8,37,,9.25,70.8,2.3636,6.5,-1.8017,13,4,5.8481,5.8481,0.2857,2.6,4.6,3.6,4.6,5.6,4.6,3.6,4.6,4.6,4.6,3.6,5.6,4.6,12,0.1818,2,0.0909,2,,,1,,,,0.7273,,1,2,,,1,,,,
Rhamondre Stevenson,NE,RB,6,No,No,No,5,1,No,Yes,1,1,0.2,1,1,55,32,23,1,23,118.8,11,55,42.8148,55,32,1.5926,1.5926,0.1667,5.5,6.5,6,7,6.5,6.5,6,6.5,6.5,6.5,6,6.5,6.5,14,,13,,1,,,13,,1,1,,,,1,1,,,,,,
Tory Horton,SEA,WR,4,No,No,No,3,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,1,,,,,,,,,,,,,,,,,,
Travis Kelce,KC,TE,12,Yes,No,No,12,3,Yes,Yes,3,1,0.25,2,0.6667,9,2,14,,4.6667,70.1,0.75,3,-3.4729,4.5,1,4.6677,4.6677,0.25,0.9,2.9,1.9,2.9,3.9,2.9,1.9,2.9,2.9,2.9,1.9,3.9,2.9,17,0.5,1,0.0833,3,,,0.5,1,,,0.4167,0.3333,,1,,,1,,1,,
Tyreek Hill,MIA,WR,3,No,No,No,3,2,No,Yes,2,1,0.6667,1,0.5,5,1,32,,16,56.3,1.6667,2.5,-6.0634,5,1,2.9306,2.9306,0.6667,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,4,0.3333,,0.6667,1,,,,,,,,,,1,1,,,,,,
Cole Kmet,CHI,TE,14,Yes,No,No,12,3,No,Yes,3,1,0.25,3,1,55,7,53,0.0833,17.6667,158.3,4.5833,18.3333,8.2801,18.3333,2.3333,6.8222,6.8222,0.2143,11.5,14.5,13,14.5,16,14.5,13,14.5,14.5,14.5,13,16,14.5,16,0.3333,,0.0833,2,,,,,,,0.5,,1,2,1,,,1,,1,1
Xavier Legette,CAR,WR,15,No,Yes,No,15,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.4,,0.6,,,,,,,,,,,,,,,,,,
Demarcus Robinson,SF,WR,6,No,No,No,6,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.5,,0.5,,,,,,,,,,,,,,,,,,
Johnny Mundt,JAX,TE,7,No,Yes,No,5,1,No,Yes,1,1,0.2,,,,,6,,6,39.6,,,-7.093,,,1.5219,1.5219,0.1429,,,,,,,,,,,,,,16,0.2,,0.2,1,,,,1,,,0.6,1,,,,,,,,,
Durham Smythe,CHI,TE,3,Yes,No,No,2,1,No,Yes,1,1,0.5,,,,,6,,6,39.6,,,-7.093,,,1.1549,1.1549,0.3333,,,,,,,,,,,,,,17,,,0.5,1,,,,1,,,0.5,1,,,,,,,,,
Greg Dulcich,MIA,TE,8,No,No,No,8,3,No,Yes,3,1,0.375,2,0.6667,17,5,26,,8.6667,120.8,2.125,5.6667,-2.4688,8.5,2.5,5.7107,5.7107,0.375,7.7,9.7,8.7,9.7,10.7,9.7,8.7,9.7,9.7,9.7,8.7,10.7,9.7,10,0.25,1,0.25,3,,,0.5,,,,0.5,,1,1,,,1,1,,1,1
Rashid Shaheed,SEA,WR,8,No,No,No,7,1,Yes,Yes,1,1,0.1429,,,,,-1,,-1,39.6,,,-6.1699,,,1.4229,1.4229,0.125,,,,,,,,,,,,,,18,0.1429,,0.8571,1,,,,,,,,,,,,,1,,,,
Gunnar Helm,TEN,TE,8,No,No,No,6,4,No,No,4,1,0.6667,3,0.75,47,3,45,,11.25,113.5,7.8333,11.75,2.0804,15.6667,1,6.6241,6.6241,0.5,4.7,7.7,6.2,7.7,9.2,7.7,6.2,7.7,7.7,7.7,6.2,9.2,7.7,16,0.3333,,0.1667,2,,,,1,,,0.5,0.25,1,3,,1,1,,1,,
Justin Jefferson,MIN,WR,18,No,No,No,18,6,No,No,6,1,0.3333,5,0.8333,72,19,93,0.0556,15.5,116.7,4,12,2.7524,14.4,3.8,10.1388,10.1388,0.3333,7.2,12.2,9.7,12.2,12.2,12.2,9.7,12.2,12.2,12.2,9.7,12.2,12.2,17,0.1667,3,0.7778,4,,,0.6,,,,,,,4,2,1,2,1,1,,
Ryan Miller,TB,WR,2,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,,,,,,
Brock Wright,DET,TE,5,No,No,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,1,,,,,,,,,,
Brandin Cooks,BUF,WR,9,No,No,No,6,1,Yes,Yes,1,1,0.1667,,,,,27,,27,39.6,,,-11.9133,,,1.8108,1.8108,0.1111,,,,,,,,,,,,,,15,0.5,,0.5,1,,,,1,,,,1,,,1,,,,,,
A.J. Brown,PHI,WR,13,No,No,No,13,7,Yes,Yes,7,1,0.5385,4,0.5714,55,9,94,,13.4286,122,4.2308,7.8571,-0.6801,13.75,2.25,11.9684,11.9684,0.5385,11.5,15.5,13.5,15.5,15.5,15.5,13.5,15.5,15.5,15.5,13.5,15.5,15.5,15,0.0769,1,0.9231,5,,,0.25,1,,,,0.1429,,4,2,,2,,,1,
Luke McCaffrey,WAS,WR,4,No,No,No,3,1,Yes,Yes,1,1,0.3333,1,1,17,,17,,17,118.8,5.6667,17,5.3347,17,,2.3656,2.3656,0.25,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,9,0.6667,,0.3333,,,,,,,,,,,1,,1,,,,,
Terrance Ferguson,LA,TE,14,No,Yes,No,14,2,Yes,Yes,2,1,0.1429,,,,,31,,15.5,39.6,,,-10.415,,,3.6273,3.6273,0.1429,,,,,,,,,,,,,,13,0.4286,,0.4286,1,,,,1,,,0.1429,0.5,,,,,1,,,,
Samori Toure,NO,WR,1,No,Yes,Yes,1,1,No,Yes,1,1,1,1,1,3,,3,,3,79.2,3,3,-2.4499,3,,1.4039,1.4039,1,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1,,,1,1,,,,,,,,,,,,,,,,,
